"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1972","Orioles","80","74","21","1371.2","430","387","7.32","5.17","2.59","0.56","1.10",".245","","2.54","2.95","","141.2","24.9","17.0"
"1914","Senators","81","72","20","1420.2","519","401","7.41","4.97","3.29","0.13","1.19",".263","","2.54","2.61","","130.1","20.8","15.5"
"1886","White Stockings","90","34","3","1097.2","555","310","8.10","5.30","2.15","0.40","1.14",".277","","2.54","3.22","","174.8","23.8","15.9"
"1913","Naps","86","66","5","1386.2","537","392","8.29","4.47","3.26","0.12","1.28",".281","","2.54","2.83","","148.6","24.0","16.9"
"1942","Cardinals","106","48","15","1410.1","480","399","7.61","4.15","3.02","0.31","1.18",".248","","2.55","2.99","","201.2","30.0","22.9"
"1872","Mutuals","34","20","0","512.0","362","145","10.86","0.77","0.56","0.04","1.27",".306","","2.55","3.57","","65.0","12.6","3.8"
"1874","Athletics","33","22","0","487.0","344","138","9.50","0.18","0.54","0.09","1.11",".272","","2.55","3.08","","83.4","10.1","6.0"
"1883","Beaneaters","63","35","3","860.0","456","244","8.93","5.63","0.94","0.12","1.10",".309","","2.55","2.49","","146.3","15.9","12.9"
"1908","Athletics","68","85","4","1400.1","563","398","7.67","4.76","2.64","0.06","1.15",".270","","2.56","2.01","","130.1","11.9","17.0"
"1917","Tigers","78","75","15","1396.1","577","397","7.79","3.33","3.25","0.08","1.23",".264","","2.56","2.84","","107.8","11.9","12.7"
"1943","Cardinals","105","49","15","1427.0","473","407","7.86","4.03","3.01","0.21","1.21",".260","","2.57","2.86","","199.1","32.9","23.6"
"1903","Americans","91","47","4","1255.0","505","358","8.19","4.15","1.93","0.16","1.12",".275","","2.57","2.70","","136.1","20.9","14.5"
"1904","Highlanders","92","59","1","1380.2","526","394","7.69","4.46","2.03","0.19","1.08",".264","","2.57","2.38","","157.0","21.0","19.1"
"1915","Braves","83","69","13","1405.2","545","402","8.05","4.03","2.34","0.15","1.15",".270","","2.57","2.51","","140.6","15.7","16.7"
"1890","Colonels","87","43","7","1206.0","588","345","8.36","4.38","2.19","0.13","1.17",".281","","2.57","2.92","","194.5","26.4","16.9"
"1972","Athletics","93","62","43","1417.2","457","406","7.43","5.47","2.65","0.61","1.12",".248","","2.58","2.99","","118.4","22.0","14.2"
"1906","Phillies","71","82","5","1354.1","568","388","7.98","3.32","2.90","0.12","1.21",".263","","2.58","2.77","","78.6","10.0","9.1"
"1916","Browns","79","75","13","1443.2","545","414","8.05","3.15","2.98","0.09","1.23",".271","","2.58","2.82","","98.3","17.0","11.6"
"1901","Pirates","90","49","4","1244.2","534","357","8.66","3.65","1.76","0.14","1.16",".282","","2.58","2.91","","159.1","23.9","15.8"
"1912","Giants","103","48","15","1369.2","571","393","8.88","4.28","2.22","0.24","1.23",".291","","2.58","2.98","","189.9","26.2","19.5"
"1873","Red Stockings","43","16","3","536.0","460","154","11.89","0.52","0.59","0.08","1.39",".322","","2.59","3.13","","100.7","9.6","6.2"
"1909","Red Sox","88","63","15","1360.1","548","392","8.03","3.67","2.54","0.12","1.17",".267","","2.59","2.42","","89.8","10.1","11.1"
"1915","Pirates","73","81","11","1380.0","520","398","8.02","3.55","2.50","0.14","1.17",".265","","2.60","2.65","","113.8","16.7","13.3"
"1878","Grays","15","45","0","547.0","386","158","9.69","2.42","0.90","0.05","1.18",".296","","2.60","2.37","","75.3","1.5","7.2"
"1906","Athletics","78","67","4","1322.0","536","382","7.73","5.10","2.89","0.06","1.18",".274","","2.60","2.29","","139.2","14.9","17.0"
"1916","Giants","86","66","12","1397.1","503","404","8.16","4.11","2.00","0.26","1.13",".265","","2.60","2.53","","98.4","14.5","12.1"
"1915","Pepper","80","72","7","1406.2","562","407","8.37","3.72","2.90","0.10","1.25",".276","","2.60","2.69","","121.2","16.6","13.9"
"1907","Browns","69","83","9","1381.1","560","400","8.17","3.02","2.29","0.11","1.16",".265","","2.61","2.43","","71.4","12.1","8.6"
"1888","Beaneaters","70","64","0","1225.1","611","355","8.11","3.55","1.98","0.26","1.12",".264","","2.61","2.91","","152.2","15.2","14.7"
"1902","Beaneaters","73","63","4","1259.2","515","365","8.81","3.74","2.66","0.11","1.27",".287","","2.61","2.89","","121.4","19.6","13.2"
"1910","Highlanders","88","63","8","1399.0","556","406","7.96","4.21","2.34","0.10","1.15",".271","","2.61","2.32","","161.8","18.6","19.7"
"1917","Cubs","74","80","9","1404.0","567","408","8.35","4.19","2.40","0.22","1.19",".274","","2.62","2.51","","133.4","12.4","16.6"
"1873","Mutuals","29","24","0","477.0","385","139","10.17","1.43","1.30","0.09","1.27",".296","","2.62","3.18","","65.8","8.9","4.0"
"1920","Robins","93","61","10","1427.1","530","416","8.71","3.49","2.06","0.16","1.20",".276","","2.62","2.94","","183.2","24.3","20.3"
"1966","Dodgers","95","67","35","1458.0","490","425","7.94","6.69","2.20","0.52","1.13",".274","","2.62","2.60","","217.0","28.8","25.5"
"1918","Indians","73","54","13","1161.0","447","340","8.73","2.82","2.66","0.07","1.27",".275","","2.64","2.63","","136.6","15.5","16.5"
"1904","Cardinals","74","79","2","1368.0","595","401","8.46","3.48","2.10","0.15","1.17",".275","","2.64","2.56","","136.9","14.8","15.6"
"1908","Cardinals","49","105","4","1368.0","622","401","8.01","3.47","2.83","0.11","1.20",".265","","2.64","2.42","","96.0","-2.2","11.6"
"1918","Giants","71","53","10","1111.2","415","326","8.11","2.67","1.85","0.16","1.11",".252","","2.64","2.55","","89.0","12.3","10.9"
"1915","Whales","86","66","10","1397.2","538","410","7.93","3.71","2.59","0.21","1.17",".263","","2.64","2.75","","105.1","17.2","11.9"
"1909","Highlanders","74","77","7","1350.1","592","397","8.15","3.98","2.81","0.14","1.22",".272","","2.65","2.47","","103.5","9.1","12.8"
"1881","Wolverines","41","43","0","744.2","429","219","9.49","3.20","1.66","0.10","1.24",".297","","2.65","2.67","","80.0","7.3","7.6"
"1879","Blues","27","55","0","741.0","461","218","9.94","3.49","1.41","0.05","1.26",".311","","2.65","2.50","","70.5","3.6","6.4"
"1916","Cubs","67","86","13","1416.2","541","417","8.04","3.91","2.32","0.20","1.15",".260","","2.65","2.60","","127.1","14.7","15.8"
"1968","Indians","86","75","32","1464.1","504","432","6.68","7.11","3.32","0.60","1.11",".240","","2.66","2.89","","165.7","22.8","21.0"
"1915","Robins","80","72","8","1389.2","560","410","8.11","3.23","3.06","0.19","1.24",".263","","2.66","2.98","","79.5","15.2","9.4"
"1917","Yankees","71","82","6","1411.1","558","417","8.16","3.64","2.72","0.18","1.21",".278","","2.66","2.69","","132.7","15.1","15.7"
