"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1956","Cubs","1697","1413","12525.0","4158","1607","144","","","388","","","","","48","26","17","14",".976","41"
"1967","Angels","1980","1449","12873.0","4293","1707","111","","","350","","","","","49","63","13","61",".982","41"
"1970","Athletics","2008","1458","12984.0","4325","1670","141","","","410","","","","","72","41","12","56",".977","41"
"1970","Senators","2045","1458","13119.0","4369","1942","116","","","464","","","","","55","49","12","51",".982","41"
"1971","Brewers","1946","1449","12747.0","4244","1690","138","","","407","","","","","56","71","9","32",".977","41"
"1975","Yankees","1780","1440","12816.0","4272","1696","136","","","401","","","","","80","71","9","42",".978","41"
"1984","Expos","1998","1449","12879.0","4296","1662","132","","","395","","","","","138","67","8","40",".978","41"
"1985","Twins","1910","1458","12837.0","4280","1732","120","","","370","","","","","100","54","13","51",".980","41"
"1989","Giants","2153","1458","13113.0","4371","1725","114","","","361","","","","","96","56","11","37",".982","41"
"1997","Giants","2168","1458","13014.0","4338","1799","125","","","438","","","","","108","73","9","48",".980","41"
"1891","Colts","862","137","1220.2","2948","1765","325","","","253","","","","","","","63","",".935","40"
"1891","Giants","856","136","1204.0","3021","1680","309","","","246","","","","","","","73","",".938","40"
"1897","Orioles","868","136","1197.2","2816","1685","236","","","248","","","","","","","39","",".950","40"
"1901","Americans","863","138","1217.0","2881","1832","286","","","253","","","","","","","23","",".943","40"
"1957","Dodgers","1703","1386","12594.0","4199","1684","127","","","360","","","","","38","33","8","32",".979","40"
"1973","Expos","2036","1458","13065.0","4353","1845","163","","","410","","","","","76","50","24","57",".974","40"
"1974","Athletics","2020","1458","12957.0","4320","1705","141","","","412","","","","","83","59","10","26",".977","40"
"1990","Orioles","1992","1449","12918.0","4307","1653","93","","","412","","","","","103","44","5","34",".985","40"
"1992","Braves","2111","1458","13140.0","4380","1703","109","","","325","","","","","149","66","13","58",".982","40"
"1995","Cardinals","1803","1287","11391.0","3797","1622","113","","","400","","","","","132","64","9","51",".980","40"
"1880","Ruby Legs","537","85","762.2","1954","1065","291","","","120","","","","","","","61","",".912","39"
"1886","Wolverines","777","126","1103.2","2713","1429","320","","","207","","","","","","","76","",".928","39"
"1894","Orioles","818","129","1116.1","2541","1574","245","","","255","","","","","","","29","",".944","39"
"1904","Cubs","974","156","1383.2","3392","1993","245","","","209","","","","","","","25","",".956","39"
"1910","Athletics","1025","155","1421.2","3459","1955","207","","","274","","","","","","","10","",".963","39"
"1937","White Sox","1067","154","1351.1","3034","1832","142","","","452","","","","","","","10","",".972","39"
"1943","Cardinals","1139","157","1427.0","3179","1739","124","","","460","","","","","","","13","",".975","39"
"1956","Red Sox","1747","1395","12582.0","4194","1763","170","","","457","","","","","38","31","10","30",".972","39"
